"","Conc","Tree","Position","leafw","epi_up","epi_low","meso.mean","sum.mean","Tree.y","Position.y","leafw.mean.y","epiupper.mean","epilower.mean","mesolay.mean","meso.mean.y","length.par1.mean","sumlength.par.mean","meanlength.par.mean","Date","Ring","Tree","CO2grow","Canopy","CO2meas","N.Rows","gmes","Mean_gm.Eglob","Mean_gs","Mean_Ci","Mean_Cc","Drawdown"
"1","116lower","116","lower",282.233333333333,15.7813888883333,13.8701111116667,253.816666666667,283.483333333333,"116","lower",282.80766665,15.78138889,13.87011111,7.125,252.4705,39.830166665,103.1650375,34.3883458333333,"22/10/2014","R1","116","elev","lower","amb",7,0.114,0.095,0.183857143,247,121,126
"2","116lower","116","lower",282.233333333333,15.7813888883333,13.8701111116667,253.816666666667,283.483333333333,"116","lower",282.80766665,15.78138889,13.87011111,7.125,252.4705,39.830166665,103.1650375,34.3883458333333,"22/10/2014","R1","116","elev","lower","elev",7,0.105,0.091,0.126571429,295,132,163
"3","116upper","116","upper",304.214285714286,NA,14.4381928557143,273.228571428571,305.757142857143,"116","upper",306.2553125,21.718855555,14.04790972,7.5,270.9149405,36.233083335,95.344469445,31.781489815,"22/10/2014","R1","116","elev","upper","amb",7,0.278,0.124,0.113285714,247,212,35
"4","116upper","116","upper",304.214285714286,NA,14.4381928557143,273.228571428571,305.757142857143,"116","upper",306.2553125,21.718855555,14.04790972,7.5,270.9149405,36.233083335,95.344469445,31.781489815,"22/10/2014","R1","116","elev","upper","elev",7,0.164,0.11,0.085428571,317,247,69
"5","117lower","117","lower",290.6,22.6202222233333,17.97888889,248.466666666667,289,"117","lower",290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.6595381266667,"28/10/2014","R1","117","elev","lower","amb",6,0.311,0.147,0.241,274,224,50
"6","117lower","117","lower",290.6,22.6202222233333,17.97888889,248.466666666667,289,"117","lower",290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.6595381266667,"28/10/2014","R1","117","elev","lower","elev",7,0.264,0.164,0.238571429,380,301,79
"7","117upper","117","upper",323,24.6984444433333,18.1535555533333,273.2,316.1,"117","upper",323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.1084259266667,"28/10/2014","R1","117","elev","upper","amb",7,0.223,0.138,0.144,241,187,54
"8","117upper","117","upper",323,24.6984444433333,18.1535555533333,273.2,316.1,"117","upper",323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.1084259266667,"28/10/2014","R1","117","elev","upper","elev",6,0.247,0.164,0.156666667,348,277,71
"9","202lower","202","lower",291.433333333333,21.2147777783333,16.7587222216667,251.733333333333,289.733333333333,"202","lower",286.8233,21.21477778,16.758722225,6.8333333335,253.00570235,36.591,101.92868333,33.9762277766667,"22/10/2014","R2","202","amb","lower","amb",7,0.249,0.136,0.094428571,213,172,40
"10","202lower","202","lower",291.433333333333,21.2147777783333,16.7587222216667,251.733333333333,289.733333333333,"202","lower",286.8233,21.21477778,16.758722225,6.8333333335,253.00570235,36.591,101.92868333,33.9762277766667,"22/10/2014","R2","202","amb","lower","elev",4,0.254,0.128,0.05975,263,223,40
