tree,ring,position,co2grow,co2meas,N Rows,Mean(Photo),Mean(gs),Mean(Ci),Mean(Tleaf),Mean(LMA),Mean(N-perc),Mean(leafw),Mean(epi_up),Mean(epi_low),Mean(stomdenad),Mean(stomdenab),Mean(meso.mean),Mean(sum.mean),Mean(leafw.mean.y),Mean(epiupper.mean),Mean(epilower.mean),Mean(mesolay.mean),Mean(meso.mean.y),Mean(length.par1.mean),Mean(sumlength.par.mean),Mean(meanlength.par.mean),Mean(nrows),Mean(gmes),Mean(mean_gm.Eglob),Mean(mean_gs),Mean(mean_ci),Mean(mean_cc),Mean(drawdown),Mean(Vcmax),Mean(Jmax),Mean(Rd),Mean(Vcmax_SE),Mean(Jmax_SE),Mean(Rd_SE),Mean(Vcmax25),Mean(Jmax25),Mean(Rd25),Mean(Vcmax25-SE),Mean(Jmax25-SE),Mean(Rd25-SE)
116,R1,lower,elev,amb,1,14.418,0.184,247.31361611429,25.431,152.4650306,1.87,282.2333333,15.78138889,13.87011111,246.1542477,131.7659433,253.8166667,283.4833333,282.8076667,15.78138889,13.87011111,7.125,252.4705,39.83016667,103.1650375,34.38834583,7,0.114,0.095,0.183857143,247,121,126,,,,,,,,,,,,
116,R1,lower,elev,elev,1,17.139,0.127,295.48391775714,25.703,152.4650306,1.87,282.2333333,15.78138889,13.87011111,246.1542477,131.7659433,253.8166667,283.4833333,282.8076667,15.78138889,13.87011111,7.125,252.4705,39.83016667,103.1650375,34.38834583,7,0.105,0.091,0.126571429,295,132,163,74.7471,102.5609,1.1324,6.1860,3.8035,0.6631,73.2979,103.5203,1.2774,6.0559,3.8694,0.6745
116,R1,upper,elev,amb,1,9.656,0.113,247.19268165714,24.965,219.906559,1.42,304.2142857,23.15324445,14.43819286,175.1736111,194.0972222,273.2285714,305.7571429,306.2553125,21.71885556,14.04790972,7.5,270.9149405,36.23308334,95.34446945,31.78148982,7,0.278,0.124,0.113285714,247,212,35,,,,,,,,,,,,
116,R1,upper,elev,elev,1,11.409,0.085,316.94490687143,25.020,219.906559,1.42,304.2142857,23.15324445,14.43819286,175.1736111,194.0972222,273.2285714,305.7571429,306.2553125,21.71885556,14.04790972,7.5,270.9149405,36.23308334,95.34446945,31.78148982,7,0.164,0.11,0.085428571,317,247,69,86.9240,130.7985,0.7604,12.4482,8.2045,1.4048,87.0992,130.1568,0.7064,13.2596,8.6452,1.4816
117,R1,lower,elev,amb,1,15.512,0.241,274.08919911667,27.258,179.9955064,1.73,290.6,22.62022222,17.97888889,224.0740741,209.2592593,248.4666667,289,290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.65953813,6,0.311,0.147,0.241,274,224,50,,,,,,,,,,,,
117,R1,lower,elev,elev,1,20.780,0.239,379.8734247,28.331,179.9955064,1.73,290.6,22.62022222,17.97888889,224.0740741,209.2592593,248.4666667,289,290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.65953813,7,0.264,0.164,0.238571429,380,301,79,102.3088,136.8074,2.6654,4.4090,2.9052,0.4727,75.0981,115.8202,2.6014,3.5332,2.6708,0.5121
117,R1,upper,elev,amb,1,12.058,0.144,241.06491037143,25.162,229.4836256,1.56,323,24.69844444,18.15355555,240.7407407,125,273.2,316.1,323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.10842593,7,0.223,0.138,0.144,241,187,54,,,,,,,,,,,,
117,R1,upper,elev,elev,1,17.603,0.157,348.13384028333,25.113,229.4836256,1.56,323,24.69844444,18.15355555,240.7407407,125,273.2,316.1,323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.10842593,6,0.247,0.164,0.156666667,348,277,71,66.8496,102.7635,1.9475,6.8699,5.3178,0.9427,68.0151,102.4108,2.0416,8.2363,5.8760,1.0637
202,R2,lower,amb,amb,1,10.009,0.094,212.73788122857,25.074,146.6166953,1.715,291.4333333,21.21477778,16.75872222,213.8888889,172.2222222,251.7333333,289.7333333,286.8233,21.21477778,16.75872223,6.833333334,253.0057024,36.591,101.9286833,33.97622778,7,0.249,0.136,0.094428571,213,172,40,49.1998,87.4451,1.4212,1.6959,1.6374,0.2869,50.2568,88.6409,1.6380,1.6381,1.5518,0.2739
202,R2,lower,amb,elev,1,10.055,0.060,262.7944345,25.214,146.6166953,1.715,291.4333333,21.21477778,16.75872222,213.8888889,172.2222222,251.7333333,289.7333333,286.8233,21.21477778,16.75872223,6.833333334,253.0057024,36.591,101.9286833,33.97622778,4,0.254,0.128,0.05975,263,223,40,,,,,,,,,,,,
