Date,Ring,Tree,CO2grow,Canopy,CO2meas,N Rows,Mean_gm-Tobacco,Mean_gm-Eglob,Mean_gs,Mean_Ci,Mean_Cc,Drawdown
22/10/2014,R1,116,elev,lower,amb,7,0.114,0.095,0.183857143,247,121,126
22/10/2014,R1,116,elev,lower,elev,7,0.105,0.091,0.126571429,295,132,163
22/10/2014,R1,116,elev,upper,amb,7,0.278,0.124,0.113285714,247,212,35
22/10/2014,R1,116,elev,upper,elev,7,0.164,0.11,0.085428571,317,247,69
28/10/2014,R1,117,elev,lower,amb,6,0.311,0.147,0.241,274,224,50
28/10/2014,R1,117,elev,lower,elev,7,0.264,0.164,0.238571429,380,301,79
28/10/2014,R1,117,elev,upper,amb,7,0.223,0.138,0.144,241,187,54
28/10/2014,R1,117,elev,upper,elev,6,0.247,0.164,0.156666667,348,277,71
22/10/2014,R1,202,amb,upper,amb,7,0.143,0.122,0.300714286,266,122,144
22/10/2014,R1,202,amb,upper,elev,7,0.163,0.139,0.319,391,234,157
22/10/2014,R2,202,amb,lower,amb,7,0.249,0.136,0.094428571,213,172,40
22/10/2014,R2,202,amb,lower,elev,4,0.254,0.128,0.05975,263,223,40
28/10/2014,R2,208,amb,lower,amb,6,0.147,0.101,0.114333333,209,126,83
28/10/2014,R2,208,amb,lower,elev,4,0.12,0.099,0.143,300,134,166
28/10/2014,R2,208,amb,upper,amb,6,0.144,0.103,0.115166667,209,123,86
28/10/2014,R2,208,amb,upper,elev,6,0.16,0.125,0.137833333,308,192,116
28/10/2014,R2,209,amb,upper,amb,6,0.151,0.108,0.176166667,258,165,93
28/10/2014,R2,209,amb,upper,elev,7,0.28,0.173,0.177571429,361,295,66
27/10/2014,R3,301,amb,lower,amb,5,0.403,0.19,0.1384,237,205,33
27/10/2014,R3,301,amb,lower,elev,6,0.323,0.198,0.086666667,257,212,45
27/10/2014,R3,301,amb,upper,amb,6,0.187,0.145,0.188333333,240,150,90
27/10/2014,R3,301,amb,upper,elev,6,0.425,0.267,0.166,321,271,50
29/10/2014,R3,3_out,amb,lower,amb,6,0.191,0.139,0.1175,195,125,70
29/10/2014,R3,3_out,amb,lower,elev,6,NA,0.315,0.130333333,281,254,27
29/10/2014,R3,3_out,amb,upper,amb,6,0.152,0.112,0.0985,197,122,75
29/10/2014,R3,3_out,amb,upper,elev,6,0.439,0.225,0.096333333,266,230,36
29/11/2014,R4,403,elev,upper,amb,6,0.137,0.104,0.13,233,144,89
29/11/2014,R4,403,elev,upper,elev,6,0.453,0.241,0.131333333,313,275,38
23/10/2014,R4,408,elev,lower,amb,6,0.245,0.101,0.089,227,194,34
29/11/2014,R4,408,elev,lower,amb,5,0.12,0.093,0.1546,256,156,100
29/11/2014,R4,408,elev,lower,elev,6,0.245,0.168,0.154,350,281,69
23/10/2014,R4,408,elev,upper,amb,7,0.252,0.149,0.104571429,196,148,48
23/10/2014,R4,408,elev,upper,elev,7,0.085,0.077,0.134714286,293,66,227
23/10/2014,R4,422,elev,lower,amb,7,0.065,0.059,0.207,256,26,230
23/10/2014,R4,422,elev,lower,elev,7,0.091,0.082,0.220714286,360,120,240
27/10/2014,R5,501,elev,lower,amb,7,0.171,0.121,0.157714286,263,190,73
27/10/2014,R5,501,elev,lower,elev,9,0.291,0.188,0.175333333,365,305,60
27/10/2014,R5,501,elev,upper,amb,6,0.343,0.16,0.167333333,249,210,39
27/10/2014,R5,501,elev,upper,elev,6,0.209,0.153,0.148333333,333,248,84
30/10/2014,R5,513,elev,lower,amb,7,0.149,0.115,0.227428571,283,189,94
30/10/2014,R5,513,elev,lower,elev,7,0.27,0.18,0.222285714,394,325,69
27/10/2014,R5,513,elev,upper,amb,6,0.166,0.106,0.142,246,175,71
27/10/2014,R5,513,elev,upper,elev,6,0.34,0.148,0.142833333,356,312,45
30/10/2014,R5,523,elev,upper,amb,7,0.114,0.091,0.193285714,275,163,111
30/10/2014,R5,523,elev,upper,elev,7,0.243,0.172,0.228142857,387,307,80
23/10/2014,R6,6_out1,amb,lower,amb,6,0.192,0.085,0.1045,249,206,43
23/10/2014,R6,6_out1,amb,lower,elev,6,0.137,0.1,0.1115,340,248,93
30/10/2014,R6,6_out1,amb,lower,amb,7,0.054,0.046,0.146714286,299,148,150
30/10/2014,R6,6_out1,amb,lower,elev,7,0.097,0.076,0.147428571,402,279,124
23/10/2014,R6,6_out1,amb,upper,amb,7,NA,0.256,0.223714286,238,214,25
23/10/2014,R6,6_out1,amb,upper,elev,7,0.379,0.256,0.238142857,361,298,63
23/10/2014,R6,6_out2,amb,lower,amb,7,0.233,0.154,0.290142857,295,228,67
23/10/2014,R6,6_out2,amb,lower,elev,6,NA,0.295,0.274,408,391,17
30/10/2014,R6,6_out2,amb,lower,amb,6,0.122,0.097,0.202833333,277,173,104
30/10/2014,R6,6_out2,amb,lower,elev,7,0.35,0.201,0.228571429,406,355,50
30/10/2014,R6,6_out1,amb,upper,amb,6,0.086,0.065,0.1275,274,176,98
30/10/2014,R6,6_out1,amb,upper,elev,7,0.149,0.102,0.134285714,375,291,84
30/10/2014,R6,6_out2,amb,upper,amb,7,0.102,0.082,0.149,259,148,110
30/10/2014,R6,6_out2,amb,upper,elev,7,0.218,0.153,0.160428571,359,283,76
